outlet_name,address,Extracted_Value,Latitude,Longitude
ZUS Coffee – MITC Melaka,"No.41, Ground Floor, Jalan Komersial, Taman Kota Fesyen MITC, 75450, Ayer Keroh, Melaka",MITC Melaka,2.2708192,102.2879377801564
ZUS Coffee – Merlimau,"JC 23, Ground Floor, Jalan BMU 1, Bandar Baru Merlimau Utara, 77300, Merlimau, Melaka",Merlimau,2.14359,102.426336
ZUS Coffee – Kuala Sungai Baru,"SI 15, Ground Floor, Jalan Sungai Baru Ilir Jaya Utama, Taman Sungai Baru Ilir Jaya, 78300 Masjid Tanah, Melaka.",Kuala Sungai Baru,2.3609669,102.0389737
ZUS Coffee – Melaka Taman Merdeka,"No 39 (Ground Floor), Jalan Merdeka 1, Taman Merdeka, Hang Tuah Jaya, 75350 Batu Berendam, Melaka.",Melaka Taman Merdeka,2.2671313,102.2440907
ZUS Coffee – Bandar Utama Cheng,"No 17 (Ground Floor), Jalan Inang 1, Taman Paya Rumput Utama, 76450 Melaka.",Bandar Utama Cheng,5.6018213,100.5318806
ZUS Coffee – ElementX @ Hatten City,"G13, Ground Floor, ElementX @ Hatten City, Jalan Melaka Raya, 23, Taman Melaka Raya, 75000 Melaka",ElementX @ Hatten City,2.1861929,102.2565481210022
ZUS Coffee – Sungai Udang,"No 24 (Ground Floor), Jalan Kerambit 4, Bandar Baru Sungai Udang, 76300 Sungai Udang, Melaka.",Sungai Udang,2.2841096,102.1338866
"DATARAN PAHLAWAN, MELAKA","B-001(B) Dataran Pahlawan Melaka Megamall, Jln Merdeka, Bandar Hilir, 75000, Melaka","DATARAN PAHLAWAN, MELAKA",2.1904762499999997,102.25165620869464
"FREEPORT A’FAMOSA, MELAKA","Freeport A’Famosa Outlet, Lot 28, Jalan Kemus, Simpang Ampat, 78000 Alor Gajah, Melaka","FREEPORT A’FAMOSA, MELAKA",2.44307365,102.20463878772759
"JASIN BESTARI, MELAKA","Ground Floor, JC 548, Jln Bestari 5, Bandar Jasin Bestari, 77200 Bemban, Melaka","JASIN BESTARI, MELAKA",2.2795438,102.3934007
"MASJID TANAH, MELAKA","SU 1443 (Ground Floor), Jalan Masjid Tanah Ria Utama, Taman Masjid Tanah Ria, 78300 Masjid Tanah, Melaka","MASJID TANAH, MELAKA",2.3522253,102.1089793
BUKIT BARU,"Pusat Niaga, No 4 (Ground Floor) Jalan PNBBU 3, Bukit Baru, Bukit Baru Utama, 75150 Bukit Baru, Melaka",BUKIT BARU,-3.0118178,104.7233137
AYER KEROH,"No.25, GF, Jalan Komersial TAKH 2, Taman Ayer Keroh Heights, Ayer Keroh, 75450 Hang Tuah Jaya Melaka",AYER KEROH,2.255986,102.2915442
PLAZA PANDAN MALIM,"15, Jalan PPM 8, Plaza Pandan Malim, 75250 Melaka",PLAZA PANDAN MALIM,2.22864075,102.22720818620817
MELAKA KOTA LAKSAMANA,"59, Jalan KLJ 6, Taman Kota Laksamana Jaya, 75200 Melaka",MELAKA KOTA LAKSAMANA,2.1975859,102.2416113
